,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09Q678N7F,Men's Denim Cotton Relaxed Fit Jeans (Blue),Murqin,1,0,0,645,0,0,73,,1,"₹645
₹2,400 Save ₹1,755 (73%)"
1,B09Q66MNB7,Men's Denim Cotton Relaxed Fit Jeans (Dark Blue),Murqin,1,0,0,645,0,0,73,,1,"₹645
₹2,400 Save ₹1,755 (73%)"
2,B07L6Y7B8G,Men's Slim Fit Stretchable Jeans,Neostreak,1,0,0,609,3.7,"2,757",64,,1,"2,757"
3,B07MC7683G,Men's Slim Fit Stretchable Jeans,Neostreak,1,0,0,619,3.4,28,75,,1,28
4,B019XSHCG4,Men's Relaxed Jeans,Ben Martin,0,1,0,698,3.7,"3,792",72,,1,"3,792"
5,B08S3D485L,Men's Light Blue Slim Fit Heavy Distressed/Torn Jeans,Urbano Fashion,0,0,0,799,3.8,143,56,,1,143
6,B01F15NCWG,Women's Jeans,NIFTY,0,1,0,499,3.9,"4,334",58,,1,"4,334"
7,B07DFPCD93,Men's Slim Fit Black Stretch Jeans,Urbano Fashion,0,0,0,649,3.7,"3,625",50,,1,"3,625"
8,B09LCT6683,Men's Slim Jeans,Amazon Brand - Symbol,0,0,0,709,2.2,5,65,,0,5
9,B085J79SJC,Men's Relaxed Jeans,Amazon Brand - Symbol,0,0,0,679,3.8,"1,095",64,,1,"1,095"
10,B07HZQ4RW6,Men's Slim Stretchable Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,669,3.7,"1,330",79,,1,"1,330"
11,B09QKX4MQQ,UP Men's Denim Blend Solid Slim Jeans for Men,UP Online Store,0,0,0,499,5.0,3,38,,1,3
12,B09F6L3W6N,Men's Skinny Jeans,Spykar,0,0,0,"1,151",3.6,10,62,,1,10
13,B09C24P35D,Men's Skinny Jeans,Lawman,0,0,0,"1,029",3.9,12,66,,1,12
14,B07CWT3MFK,Men's Slim Fit Denim Jeans,Ben Martin,0,0,0,698,3.6,"2,228",72,,1,"2,228"
15,B09BVXC68X,Men's Regular Jeans,Levi's,0,0,0,"1,549",4.2,47,47,,1,47
16,B08NSPYQZF,Women's High Rise Jeans,KOTTY,0,0,0,639,3.8,526,68,,1,526
17,B079HXQ6VN,Men's Stretch Carrot Fit Jeans,Amazon Brand - Symbol,0,0,0,489,3.8,427,77,,0,427
18,B07SBZ7H6H,Men's Slim Fit Stretchable Fabric Casual Wear Denim Jeans,RAGZO,0,0,0,849,3.5,"1,178",43,,1,"1,178"
19,B085J7BK52,Men's Skinny Fit Jeans,Amazon Brand - Symbol,0,0,0,629,3.8,"1,139",63,,1,"1,139"
20,B07V9N5D7N,Men's Slim Jeans,Deniklo,1,0,0,728,3.9,216,72,,1,216
21,B07L715PCG,Men's Slim Fit Stretchable Jeans,Neostreak,1,0,0,553,3.8,"3,170",65,,1,"3,170"
22,B09JPFPJTJ,Slim Fit Stretchable Denim Jeans for Men,ProveQo,1,0,0,"1,999",3.0,2,50,,1,2
23,B09GRGJ638,Regular Fit Blue Jean for Men,Dotiq,1,0,0,599,3.4,12,76,,1,12
24,B07MXMTW2Z,Men Striped Denim Jeans,Campus Sutra,0,0,0,899,3.6,"1,761",55,,1,"1,761"
25,B07DMZ9J72,Men's Slim Fit Denim,Ben Martin,0,0,0,698,3.5,"3,248",77,,1,"3,248"
26,B09DP7YJMP,Men's Relaxed Fit Jeans,Diverse,0,0,0,639,0,0,74,,0,"₹639
₹2,499 Save ₹1,860 (74%)"
27,B07TZNVCSJ,Women's Skinny Jeans,Amazon Brand - Symbol,0,0,0,609,3.6,398,72,,1,398
28,B098L97BWD,Men's Regular Fit Jeans,Ben Martin,0,0,0,499,3.5,97,83,,1,97
29,B09CH3CQ9P,Men's Relaxed Jeans,Amazon Brand - Symbol,0,0,0,619,3.9,263,64,,1,263
30,B09C2G7CSZ,Men's Light Blue Slim Fit Washed Jeans Stretchable,Urbano Fashion,0,0,0,699,3.5,"1,015",53,,1,"1,015"
31,B085J7MM17,Men's Slim Fit Jeans,Amazon Brand - Symbol,0,0,0,599,3.8,717,74,,1,717
32,B06Y6MHSVR,Men's Relaxed Fit Jeans,Ben Martin,0,0,0,649,3.6,"3,862",74,,1,"3,862"
33,B09F6KZK1Y,Men's Skinny Jeans,Spykar,0,0,0,"1,180",4.5,2,61,,1,2
34,B07CVLYWSV,mens Jeans,Pepe Jeans,0,0,0,"2,799",3.8,63,0,,1,63
35,B09LM9SSKG,Men's Slim Jeans,Amazon Brand - Symbol,0,0,0,699,3.0,8,65,,1,8
36,B091734BWL,Womens High Rise Cotton Lycra Jeans,KOTTY,0,0,0,674,4.0,88,66,,1,88
37,B07VCG3TG7,Men's Light Blue Slim Fit Denim Jeans Stretchable,Urbano Fashion,0,0,0,699,3.5,581,53,,1,581
38,B085J74QL5,Men's Regular Jeans,Amazon Brand - Symbol,0,0,0,699,3.8,48,56,,1,48
39,B07W3TDXXY,Women's Relaxed Jeans,AKA CHIC,0,0,0,806,4.1,"1,302",66,,0,"1,302"
40,B07HZR4V3G,Men's Stretch Slim Stretchable Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,769,3.6,454,76,,1,454
41,B098LJH826,"Men's Easies,Skinny Fit,Solid,Jeans",Easies by Killer,0,0,0,963,4.1,10,71,,1,10
42,B09BVVJD6X,Men's Slim Jeans,Levi's,0,0,0,"1,439",4.1,300,42,,1,300
43,B08L2636YZ,Women's Loose Fit Jeans,KOTTY,0,0,0,639,3.8,460,68,,1,460
44,B0758DTZ4K,Men's Relaxed Jeans,Diverse,0,0,0,534,3.6,"2,087",73,,1,"2,087"
45,B08JYN3BZT,Men's Cotton Low Rise Slim Fit Narrow Leg Regular Length Skinny Jeans (Pack of 1) (Skn-01bj-08),Spykar,0,0,0,"1,269",0,0,53,,1,"₹1,269
₹2,699 Save ₹1,430 (53%)"
46,B01M2WWJ5W,Men's Relaxed Fit Jeans,Ben Martin,0,0,0,698,3.6,204,72,,1,204
47,B07VR4QVFN,Plus Size Men's Jeans,JOHN PRIDE,0,0,0,"1,169",4.1,182,42,,1,182
48,B07QBJ7BVW,Men's Slim Fit Stretchable Jeans,Neostreak,0,0,0,511,3.8,"3,170",68,,1,"3,170"
49,B085RH5L7J,Boy's Slim Fit Jeans,Urbano Juniors,0,0,0,499,4.0,334,55,,1,334
50,B085FS8ZLL,Men Cut and Sew Denim Jeans,Campus Sutra,0,0,0,719,3.3,"1,262",58,,1,"1,262"
51,B074RMN99F,Men's Slim Fit Jogger Jeans Stretch,Urbano Fashion,0,0,0,799,3.7,"3,966",47,,1,"3,966"
52,B07QHSZYFN,Men's Slim Fit Stretchable Jeans,Neostreak,0,0,0,547,3.9,"1,907",66,,1,"1,907"
53,B07HMB6GDQ,Women's Straight Fit Jeans,AKA CHIC,0,0,0,863,4.1,681,67,,1,681
54,B092D4DM5Y,Girl's Slim Fit Jeans/Joggers/Bottom Pack of 3,KIFAYATI BAZAR,0,0,0,503,3.2,208,69,,1,208
55,B07PBV5W3K,Women's Skinny Fit Jeans,AKA CHIC,0,0,0,759,3.9,"1,246",62,,1,"1,246"
56,B0932Y7L6X,Men's Carrot Stretch Jeans,Amazon Brand - Symbol,1,0,0,749,3.5,41,67,,1,41
57,B07RJSNMW8,Men's Relaxed Jeans,Amazon Brand - Symbol,1,0,0,709,3.5,550,66,,1,550
58,B07L6YVCPD,Men's Slim Fit Stretchable Jeans,Neostreak,1,0,0,599,3.8,"2,066",63,,1,"2,066"
59,B085J799Z1,Men's Skinny Fit Jeans,Amazon Brand - Symbol,1,0,0,629,3.8,"1,139",48,,1,"1,139"
60,B085J72HNT,Men's Slim Fit Jeans,Amazon Brand - Symbol,1,0,0,599,3.8,717,50,,1,717
61,B085J72XZR,Men's Relaxed Jeans,Amazon Brand - Symbol,1,0,0,679,3.8,"1,095",58,,1,"1,095"
62,B0839J7SJ2,Men's Slim Jeans,Amazon Brand - Symbol,1,0,0,599,3.8,99,75,,1,99
63,B07XB1Q93K,Men's Skinny Jeans,Amazon Brand - Symbol,1,0,0,669,3.7,"1,049",58,,1,"1,049"
64,B07C3RDTFL,Mens Slim Fit Jeans,Wrangler,0,0,0,"1,299",3.9,18,50,,1,18
65,B09MV2MLK4,Stylish Fashionable Women High Waist Regular wear Denim Jeans - Black,HOVAC,0,0,0,499,3.7,45,75,,0,45
66,B09BVX6GMF,Men's Regular Jeans,Levi's,0,0,0,"1,741",3.3,20,38,,1,20
67,B09LCSLHMP,Men's Skinny Jeans,Amazon Brand - Symbol,0,0,0,709,5.0,1,65,,1,1
68,B08WKDFBB1,Men's Skinny Jeans,Red Tape,0,0,0,"1,071",3.8,17,76,,1,17
69,B07N22D1Z4,Men's Slim Fit Jeans,Wrangler,0,0,0,"1,174",3.3,26,58,,1,26
70,B094P1JH99,Joggers for Women Stylish,DNEXT,0,0,0,335,3.4,175,79,,1,175
71,B0866SX5DZ,Men's Brown Regular Fit Denim Jeans Stretchable,Urbano Plus,0,0,0,799,4.0,663,53,,1,663
72,B08D9T6K5M,Men's Slim Fit Jeans,Urbano Fashion,0,0,0,0,3.6,"1,408",0,,0,"1,408"
