,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B07RTC8WSD,AmazonBasics 23 L Convection Microwave (Black),AmazonBasics,1,0,0,"8,199",4.3,"1,492",49,"Thu, 10 Feb, 7:00 am - 9:00 pm",0,"1,492"
1,B07RTCNM3N,AmazonBasics 30 L Convection Microwave (Black),AmazonBasics,1,0,0,"10,699",4.2,607,47,"Thu, 10 Feb, 7:00 am - 9:00 pm",0,607
2,B00F15AFPY,"Bajaj 1701 MT 17L Solo Microwave Oven, White",Bajaj,0,0,0,"4,558",4.3,"3,896",14,"Sat, 12 Feb, 7:00 am - 9:00 pm",0,"3,896"
3,B072KZ373J,"Bajaj MTBX 2016 20L Grill Microwave Oven, Black",Bajaj,0,0,0,"5,490",4.3,"1,709",29,"Sat, 12 Feb, 7:00 am - 9:00 pm",0,"1,709"
4,B07YWYGJYD,Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),Whirlpool,0,0,0,0,4.1,"1,045",0,,0,"1,045"
5,B00K63CGNU,"Samsung 28 L Convection Microwave Oven (MC28H5013AK/TL, Black)",Samsung,0,0,0,"11,190",4.4,"2,438",25,"Thu, 10 Feb, 7:00 am - 9:00 pm",0,"2,438"
6,B016ZLKJSU,"IFB 30 L Convection Microwave Oven (30BRC2, Black, With Starter Kit)",IFB,0,0,0,"14,490",4.3,"3,863",23,"Thu, 10 Feb, 7:00 am - 9:00 pm",0,"3,863"
7,B07GLPJ37N,"LG 28 L Charcoal Convection Microwave Oven (MJ2886BWUM, Floral, Diet Fry, With Starter Kit)",LG,0,0,0,"16,790",4.3,"1,065",31,"Thu, 10 Feb, 7:00 am - 9:00 pm",0,"1,065"
8,B00A7PGI18,"IFB 20 L Convection Microwave Oven (20SC2, Metallic Silver, With Starter Kit)",IFB,0,0,0,"9,760",4.3,"3,946",28,"Thu, 10 Feb, 7:00 am - 9:00 pm",0,"3,946"
9,B07ML2W5B8,"Samsung 32 L Convection Microwave Oven (MC32J7035CT/TL, Grey)",Samsung,0,0,0,"15,790",4.5,"1,169",17,"Thu, 10 Feb, 7:00 am - 9:00 pm",0,"1,169"
10,B01LWE0QJK,"LG 32 L Convection Microwave Oven (MC3286BRUM, Black, With Starter Kit)",LG,1,0,0,"17,470",4.4,"1,385",27,"Thu, 10 Feb, 7:00 am - 9:00 pm",0,"1,385"
11,B01LF927AU,"LG 28 L Convection Microwave Oven (MC2886BRUM, Black, With Starter Kit)",LG,1,0,0,"16,790",4.4,870,13,"Thu, 10 Feb, 7:00 am - 9:00 pm",0,870
12,B01JEKO1WY,"LG 28 L Convection Microwave Oven (MC2846SL, Silver, With Starter Kit)",LG,0,0,0,"12,470",4.3,990,30,"Thu, 10 Feb, 7:00 am - 9:00 pm",0,990
13,B00M52J2QY,"LG 20 L Solo Microwave Oven (MS2043DB, Black)",LG,0,0,0,"6,170",4.3,722,22,"Thu, 10 Feb, 7:00 am - 9:00 pm",0,722
