,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B014SZOORC,"Duracell Ultra Alkaline AA Battery, 4 Pieces",Duracell,1,0,0,160,4.5,"2,973",0,"Sunday, February 20",0,"2,973"
1,B014SZORQA,"Duracell Ultra Alkaline AAA Battery, 4 Pcs",Duracell,1,0,0,157,4.5,"3,311",1,"Wednesday, February 16",0,"3,311"
2,B014SZO90Y,"Duracell Ultra Alkaline AA Battery, 8 Pcs",Duracell,0,0,1,260,4.5,"15,720",12,"Monday, February 14",1,"15,720"
3,B00O869KJE,AmazonBasics AA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,AmazonBasics,0,0,0,190,4.3,"36,511",57,"Friday, February 18",1,"36,511"
4,B014SZORQA,"Duracell Ultra Alkaline AAA Battery, 4 Pcs",Duracell,0,0,0,157,4.5,"3,311",1,"Wednesday, February 16",0,"3,311"
5,B014SZOORC,"Duracell Ultra Alkaline AA Battery, 4 Pieces",Duracell,0,0,0,160,4.5,"2,973",0,"Sunday, February 20",0,"2,973"
6,B00O869QUC,AmazonBasics AAA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,AmazonBasics,0,0,0,189,4.2,"15,371",36,,0,"15,371"
7,B00ZRBWZNW,"Eveready Alkaline Batteries - Red AA, 10 Battery Pack",Eveready,0,0,0,151,4.4,785,25,"Wednesday, February 23",0,785
8,B07QBP8LH3,Panasonic Cr2032 3 Volt Lithium Coin Battery - Pack of 2,Panasonic,0,0,0,100,4.2,"1,341",0,"Monday, February 14",0,"1,341"
9,B08KWK3P8Y,"Duracell Alkaline AA Battery Chhota Power, 2 Pcs",Duracell,0,0,0,49,4.6,43,0,"Wednesday, February 16",1,43
10,B0774D64LT,AmazonBasics 9 Volt Everyday Alkaline Batteries (4-Pack),AmazonBasics,1,0,0,379,4.4,"110,487",37,"Monday, February 14",1,"110,487"
11,B07JM6YZ2K,AmazonBasics Lithium CR2 3V Batteries - 4-Pack,AmazonBasics,1,0,0,539,4.3,"11,970",46,"Monday, February 14",1,"11,970"
12,B07JLBCH8L,"AmazonBasics LR44 Alkaline Button Coin Cell Batteries, Pack of 6",AmazonBasics,0,0,0,159,4.1,"16,087",21,"Monday, February 14",1,"16,087"
13,B01DJJVFPC,"Duracell Ultra Alkaline AAA Battery, 8 Pcs",Duracell,0,0,0,303,4.5,"7,541",5,"Wednesday, February 23",0,"7,541"
14,B00BN5SNF0,"ENVIE® (AA10004PLNi-CD) AA Rechargeable Batteries, Low Self Discharge, AA 1000mAh Ni-CD (Pack of 4)",ENVIE®,0,0,0,249,4.0,"18,865",0,"Friday, February 18",0,"18,865"
15,B003B0048O,"Duracell Rechargeable AAA 750mAh Batteries, 2 Pcs",Duracell,0,0,0,220,4.3,"63,847",0,"Wednesday, February 16",1,"63,847"
16,B014SZPBM4,"Duracell Ultra Alkaline D Battery, 2 Pcs",Duracell,0,0,0,279,4.4,"1,351",30,"Monday, February 14",1,"1,351"
17,B08TBKLVWC,Panasonic Gold Plus AA Batteries (10 Count),Panasonic,0,0,0,120,4.3,166,25,"Friday, February 18",0,166
18,B0774LQ8NG,AmazonBasics C Cell Everyday Alkaline Batteries (4-Pack),AmazonBasics,0,0,0,299,4.2,"75,421",40,"Monday, February 14",1,"75,421"
19,B014SZPFKW,"Duracell Ultra Alkaline 9V Battery, 1 Pc",Duracell,0,0,0,261,4.4,"2,083",5,"Wednesday, February 16",1,"2,083"
20,B00O869QUC,AmazonBasics AAA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,AmazonBasics,1,0,0,189,4.2,"15,371",36,,0,"15,371"
21,B078PMSF1X,"AmazonBasics 8 Pack AA Ni-MH Pre-Charged Rechargeable Batteries, 1000 Recharge Cycles (Typical 2000mAh, Minimum 1900mAh) - Packaging May Vary",AmazonBasics,1,0,0,"1,259",4.3,311,30,"Monday, February 14",1,311
22,B07JLBCH8L,"AmazonBasics LR44 Alkaline Button Coin Cell Batteries, Pack of 6",AmazonBasics,1,0,0,159,4.1,"16,087",21,"Monday, February 14",1,"16,087"
23,B0774LQ8NG,AmazonBasics C Cell Everyday Alkaline Batteries (4-Pack),AmazonBasics,1,0,0,299,4.2,"75,421",40,"Monday, February 14",1,"75,421"
24,B07Y24GN3H,Energizer Max Alkaline AAA Batteries - Pack of 6,Energizer,0,0,0,175,4.3,"3,795",0,"Monday, February 14",1,"3,795"
25,B00LH3DREU,AmazonBasics AAAA Everyday Alkaline Batteries (4-Pack) - Appearance May Vary,AmazonBasics,0,0,0,179,4.2,"15,943",40,"Friday, February 18",1,"15,943"
26,B014SZP8MW,"Duracell Ultra Alkaline C Battery, 2 pcs",Duracell,0,0,0,275,4.3,"1,165",0,"Thursday, February 24",0,"1,165"
27,B0774D64LT,AmazonBasics 9 Volt Everyday Alkaline Batteries (4-Pack),AmazonBasics,0,0,0,379,4.4,"110,487",37,"Monday, February 14",1,"110,487"
28,B0044D9ZI2,Energizer E96BP AAAA Alkaline Battery (2 Pieces),Energizer,0,0,0,149,4.4,"3,998",0,"Wednesday, February 16",1,"3,998"
29,B09HBYL3XG,DURACELL LR44 Coin  Alkaline Battery (Coin Cell)(Pack of 2),DURACELL,0,0,0,131,4.1,5,27,"Wednesday, February 16",1,5
30,B00ZRBWPA0,Eveready AAA Heavy Duty Batteries - 10 Pieces (Red),Eveready,0,0,0,184,4.3,501,12,"Wednesday, February 23",0,501
31,B014SZOLWK,Duracell Alkaline AAA Battery with Duralock Technology - 2 Pieces,Duracell,0,0,0,84,4.5,262,0,"Saturday, February 19",0,262
32,B014SZO90Y,"Duracell Ultra Alkaline AA Battery, 8 Pcs",Duracell,1,0,1,260,4.5,"15,720",12,"Monday, February 14",1,"15,720"
33,B00O869KJE,AmazonBasics AA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,AmazonBasics,1,0,0,190,4.3,"36,511",57,"Friday, February 18",1,"36,511"
34,B00FOQA6UO,Duracell Alkaline AAA Battery with Duralock Technology - 2 Pieces,Duracell,0,0,0,84,4.3,46,0,"Mon, Feb 14",0,46
35,B09MDH4C21,Smartcell AA Alkaline Non-Rechargeable Mini Series Battery Pack of 10,Smartcell,0,0,0,163,4.1,8,9,"Wednesday, February 16",1,8
36,B0774P9G4W,AmazonBasics D Cell Everyday Alkaline Batteries (4-Pack),AmazonBasics,0,0,0,379,4.4,"68,458",53,"Wednesday, February 16",1,"68,458"
37,B09689JGC4,"Duracell Alkaline AA Battery Chhota Power, 8 Pcs",Duracell,0,0,0,181,4.5,216,5,"Wednesday, February 16",1,216
38,B07JLN3WG1,"AmazonBasics CR1620 Lithium Coin Cell, 2-Pack",AmazonBasics,0,0,0,79,4.1,"6,416",61,"Wednesday, February 16",1,"6,416"
39,B08JVFNL82,PGSA2Z® Ultra 23A 2 Pieces Pack of 12V Alkaline Battery High Voltage Cell Car Remote Battery-425,PGSA2Z®,0,0,0,130,4.0,272,57,"Thursday, February 17",1,PGSA2Z®
40,B07JLMXW95,"AmazonBasics CR2025 Lithium Coin Cell, 2-Pack",AmazonBasics,0,0,0,79,4.2,"7,400",61,"Wednesday, February 16",1,"7,400"
41,B0847BP83Q,"TONSY 1.5V Alkaline Button Batteries 377A, LR626, SR626SW, 364A AG4 Universal Watch Battery Cells 364A LR60 SR60 364A (Pack of 30) Suitable for Unisex Wrist Watches",TONSY,0,0,0,189,3.9,801,68,"Thursday, February 17",1,801
42,B00MH4QM1S,AmazonBasics 9 Volt Everyday Alkaline Batteries (8-Pack) - Appearance May Vary,AmazonBasics,1,0,0,689,4.4,"110,487",14,"Wednesday, February 16",1,"110,487"
43,B0774P9G4W,AmazonBasics D Cell Everyday Alkaline Batteries (4-Pack),AmazonBasics,1,0,0,379,4.4,"68,458",53,"Wednesday, February 16",1,"68,458"
44,B00LH3DMUO,AmazonBasics AAA Performance Alkaline Non-rechargeable Batteries (36 Count) - Appearance May Vary,AmazonBasics,1,0,0,599,4.4,"10,180",14,"Monday, February 14",1,"10,180"
45,B00MNV8E0C,AmazonBasics AA Performance Alkaline Non-Rechargeable Batteries (48 Count) - Appearance May Vary,AmazonBasics,1,0,0,"1,269",4.6,"203,535",15,"Wednesday, February 16",1,"203,535"
