,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B07GVVCQY6,Presto! 2 Ply Kitchen Tissue/Towel Paper Roll - 6 Rolls (60 Pulls Per Roll),Presto!,1,0,1,379,4.4,"14,045",10,"Thursday, February 17",1,"14,045"
1,B07GVYG2L3,Amazon Brand - Solimo 2 Ply Kitchen Tissue/Towel Paper Roll - 2 Rolls (60 Pulls Per Roll),Amazon,1,0,0,144,4.4,"5,830",10,"Thursday, February 17",1,"5,830"
2,B07GVV8C7Z,Amazon Brand - Solimo 2 Ply Kitchen Tissue/Towel Paper Roll - 6 Rolls (60 Pulls Per Roll),Amazon,1,0,0,379,4.4,"1,966",10,"Thursday, February 17",1,"1,966"
3,B07PJQX981,"Beco Reusable Kitchen Towel Roll, Natural & Organic Cleaning Bamboo Cloth – ""Not a Tree Paper Napkin"" – Ecofriendly and Biodegradable, (20 Sheets) (Replaces 6 Months of Paper Rolls)",Beco,1,0,0,239,4.5,"2,332",20,"Thursday, February 17",1,"2,332"
4,B07GVVCQY6,Presto! 2 Ply Kitchen Tissue/Towel Paper Roll - 6 Rolls (60 Pulls Per Roll),Presto!,0,0,1,379,4.4,"14,045",10,"Thursday, February 17",1,"14,045"
5,B07MJF5THB,Amazon Brand - Solimo 2 Ply Kitchen Tissue Paper Roll - 4 Rolls (60 Pulls Per Roll),Amazon,0,0,0,257,4.4,"12,028",8,"Saturday, February 19",1,"12,028"
6,B07GVV8C7Z,Amazon Brand - Solimo 2 Ply Kitchen Tissue/Towel Paper Roll - 6 Rolls (60 Pulls Per Roll),Amazon,0,0,0,379,4.4,"1,966",10,"Thursday, February 17",1,"1,966"
7,B07GVYG2L3,Amazon Brand - Solimo 2 Ply Kitchen Tissue/Towel Paper Roll - 2 Rolls (60 Pulls Per Roll),Amazon,0,0,0,144,4.4,"5,830",10,"Thursday, February 17",1,"5,830"
8,B09B7W9P6M,Washable and Reusable - 2 Ply Kitchen Printed Tissue/Towel Paper Roll - Washable and Reusable- 1 Roll (140 Pulls Per Roll)- 60 GSM,Washable,0,0,0,157,3.8,27,69,"Sunday, February 20",0,27
9,B07PJQX981,"Beco Reusable Kitchen Towel Roll, Natural & Organic Cleaning Bamboo Cloth – ""Not a Tree Paper Napkin"" – Ecofriendly and Biodegradable, (20 Sheets) (Replaces 6 Months of Paper Rolls)",Beco,0,0,0,239,4.5,"2,332",20,"Thursday, February 17",1,"2,332"
10,B06XJ4Y466,Selpak Imported Paper Towel Kitchen Roll 3 Ply - 6 Rolls,Selpak,0,0,0,578,4.6,"1,223",14,"Monday, February 21",1,"1,223"
11,B09LHTJ9KT,Phoenix Multifold Hand Towel / M-fold Tissue Paper-1000 Pieces From Rokoo,Phoenix,0,0,0,399,4.4,17,60,"Tuesday, February 22",1,17
12,B08FQVW64B,Pack of 2 Rolls - 2 Ply Kitchen Tissue/Towel Paper Roll Washable- 2 rolls (140 Pulls Per Roll)- 60 GSM- Total 280 Pulls,Pack,0,0,0,265,3.7,31,47,"Sunday, February 20",1,31
